exchange,exchange_token,trading_symbol,groww_symbol,name,instrument_type,segment,series,isin,underlying_symbol,underlying_exchange_token,expiry_date,strike_price,lot_size,tick_size,freeze_quantity,is_reserved,buy_allowed,sell_allowed,internal_trading_symbol,is_intraday
NSE,103821,MOTHERSON25OCT62.5CE,NSE-MOTHERSON-28Oct25-62-CE,,CE,FNO,,,MOTHERSON,4204,2025-10-28,62,6150,0.05,246001,1,1,1,MOTHERSON25OCT62.5CE,0
NSE,103833,MOTHERSON25OCT92.5CE,NSE-MOTHERSON-28Oct25-92-CE,,CE,FNO,,,MOTHERSON,4204,2025-10-28,92,6150,0.05,246001,0,1,1,MOTHERSON25OCT92.5CE,0
NSE,59713,MIDCPNIFTY25SEP15200CE,NSE-MIDCPNIFTY-30Sep25-15200-CE,,CE,FNO,,,MIDCPNIFTY,26074,2025-09-30,15200,140,0.05,2801,1,1,1,MIDCPNIFTY25SEP15200CE,0
NSE,59699,MIDCPNIFTY25SEP15075PE,NSE-MIDCPNIFTY-30Sep25-15075-PE,,PE,FNO,,,MIDCPNIFTY,26074,2025-09-30,15075,140,0.05,2801,1,1,1,MIDCPNIFTY25SEP15075PE,0
NSE,103829,MOTHERSON25OCT82.5CE,NSE-MOTHERSON-28Oct25-82-CE,,CE,FNO,,,MOTHERSON,4204,2025-10-28,82,6150,0.05,246001,0,1,1,MOTHERSON25OCT82.5CE,0
NSE,103993,MOTHERSON25NOV100PE,NSE-MOTHERSON-25Nov25-100-PE,,PE,FNO,,,MOTHERSON,4204,2025-11-25,100,6150,0.05,246001,0,1,1,MOTHERSON25NOV100PE,0
NSE,59626,MIDCPNIFTY25SEP14500PE,NSE-MIDCPNIFTY-30Sep25-14500-PE,,PE,FNO,,,MIDCPNIFTY,26074,2025-09-30,14500,140,0.05,2801,0,1,1,MIDCPNIFTY25SEP14500PE,0
NSE,47314,MOTHERSON25SEP115PE,NSE-MOTHERSON-30Sep25-115-PE,,PE,FNO,,,MOTHERSON,4204,2025-09-30,115,6150,0.05,246001,0,1,1,MOTHERSON25SEP115PE,0
NSE,59686,MIDCPNIFTY25SEP14950CE,NSE-MIDCPNIFTY-30Sep25-14950-CE,,CE,FNO,,,MIDCPNIFTY,26074,2025-09-30,14950,140,0.05,2801,1,1,1,MIDCPNIFTY25SEP14950CE,0
NSE,59962,MIDCPNIFTY25SEP17700CE,NSE-MIDCPNIFTY-30Sep25-17700-CE,,CE,FNO,,,MIDCPNIFTY,26074,2025-09-30,17700,140,0.05,2801,1,1,1,MIDCPNIFTY25SEP17700CE,0
NSE,52459,MOTHERSON25OCTFUT,NSE-MOTHERSON-28Oct25-FUT,,FUT,FNO,,,MOTHERSON,4204,2025-10-28,0,6150,0.01,246001,0,1,1,MOTHERSON25OCTFUT,0
NSE,59702,MIDCPNIFTY25SEP15125CE,NSE-MIDCPNIFTY-30Sep25-15125-CE,,CE,FNO,,,MIDCPNIFTY,26074,2025-09-30,15125,140,0.05,2801,1,1,1,MIDCPNIFTY25SEP15125CE,0
NSE,37289,MOTHERSON25OCT127.5CE,NSE-MOTHERSON-28Oct25-127-CE,,CE,FNO,,,MOTHERSON,4204,2025-10-28,127,6150,0.05,246001,1,1,1,MOTHERSON25OCT127.5CE,0
NSE,59740,MIDCPNIFTY25SEP15425PE,NSE-MIDCPNIFTY-30Sep25-15425-PE,,PE,FNO,,,MIDCPNIFTY,26074,2025-09-30,15425,140,0.05,2801,1,1,1,MIDCPNIFTY25SEP15425PE,0
NSE,103837,MOTHERSON25OCT102.5CE,NSE-MOTHERSON-28Oct25-102-CE,,CE,FNO,,,MOTHERSON,4204,2025-10-28,102,6150,0.05,246001,0,1,1,MOTHERSON25OCT102.5CE,0
NSE,59623,MIDCPNIFTY25SEP14475PE,NSE-MIDCPNIFTY-30Sep25-14475-PE,,PE,FNO,,,MIDCPNIFTY,26074,2025-09-30,14475,140,0.05,2801,1,1,1,MIDCPNIFTY25SEP14475PE,0
NSE,59746,MIDCPNIFTY25SEP15500PE,NSE-MIDCPNIFTY-30Sep25-15500-PE,,PE,FNO,,,MIDCPNIFTY,26074,2025-09-30,15500,140,0.05,2801,1,1,1,MIDCPNIFTY25SEP15500PE,0
NSE,59676,MIDCPNIFTY25SEP14875CE,NSE-MIDCPNIFTY-30Sep25-14875-CE,,CE,FNO,,,MIDCPNIFTY,26074,2025-09-30,14875,140,0.05,2801,1,1,1,MIDCPNIFTY25SEP14875CE,0
NSE,104007,MOTHERSON25NOV135PE,NSE-MOTHERSON-25Nov25-135-PE,,PE,FNO,,,MOTHERSON,4204,2025-11-25,135,6150,0.05,246001,1,1,1,MOTHERSON25NOV135PE,0
NSE,59642,MIDCPNIFTY25SEP14600CE,NSE-MIDCPNIFTY-30Sep25-14600-CE,,CE,FNO,,,MIDCPNIFTY,26074,2025-09-30,14600,140,0.05,2801,0,1,1,MIDCPNIFTY25SEP14600CE,0
NSE,59711,MIDCPNIFTY25SEP15175CE,NSE-MIDCPNIFTY-30Sep25-15175-CE,,CE,FNO,,,MIDCPNIFTY,26074,2025-09-30,15175,140,0.05,2801,1,1,1,MIDCPNIFTY25SEP15175CE,0
NSE,103841,MOTHERSON25OCT112.5CE,NSE-MOTHERSON-28Oct25-112-CE,,CE,FNO,,,MOTHERSON,4204,2025-10-28,112,6150,0.05,246001,1,1,1,MOTHERSON25OCT112.5CE,0
NSE,59637,MIDCPNIFTY25SEP14550PE,NSE-MIDCPNIFTY-30Sep25-14550-PE,,PE,FNO,,,MIDCPNIFTY,26074,2025-09-30,14550,140,0.05,2801,1,1,1,MIDCPNIFTY25SEP14550PE,0
NSE,59779,MIDCPNIFTY25SEP16200CE,NSE-MIDCPNIFTY-30Sep25-16200-CE,,CE,FNO,,,MIDCPNIFTY,26074,2025-09-30,16200,140,0.05,2801,1,1,1,MIDCPNIFTY25SEP16200CE,0
NSE,59932,MIDCPNIFTY25SEP17300PE,NSE-MIDCPNIFTY-30Sep25-17300-PE,,PE,FNO,,,MIDCPNIFTY,26074,2025-09-30,17300,140,0.05,2801,1,1,1,MIDCPNIFTY25SEP17300PE,0
NSE,104008,MOTHERSON25NOV140CE,NSE-MOTHERSON-25Nov25-140-CE,,CE,FNO,,,MOTHERSON,4204,2025-11-25,140,6150,0.05,246001,1,1,1,MOTHERSON25NOV140CE,0
NSE,103825,MOTHERSON25OCT72.5CE,NSE-MOTHERSON-28Oct25-72-CE,,CE,FNO,,,MOTHERSON,4204,2025-10-28,72,6150,0.05,246001,1,1,1,MOTHERSON25OCT72.5CE,0
NSE,47309,MOTHERSON25SEP95PE,NSE-MOTHERSON-30Sep25-95-PE,,PE,FNO,,,MOTHERSON,4204,2025-09-30,95,6150,0.05,246001,0,1,1,MOTHERSON25SEP95PE,0
NSE,59619,MIDCPNIFTY25SEP14425PE,NSE-MIDCPNIFTY-30Sep25-14425-PE,,PE,FNO,,,MIDCPNIFTY,26074,2025-09-30,14425,140,0.05,2801,1,1,1,MIDCPNIFTY25SEP14425PE,0
NSE,104002,MOTHERSON25NOV125CE,NSE-MOTHERSON-25Nov25-125-CE,,CE,FNO,,,MOTHERSON,4204,2025-11-25,125,6150,0.05,246001,1,1,1,MOTHERSON25NOV125CE,0
NSE,59778,MIDCPNIFTY25SEP16100PE,NSE-MIDCPNIFTY-30Sep25-16100-PE,,PE,FNO,,,MIDCPNIFTY,26074,2025-09-30,16100,140,0.05,2801,1,1,1,MIDCPNIFTY25SEP16100PE,0
NSE,59710,MIDCPNIFTY25SEP15150PE,NSE-MIDCPNIFTY-30Sep25-15150-PE,,PE,FNO,,,MIDCPNIFTY,26074,2025-09-30,15150,140,0.05,2801,1,1,1,MIDCPNIFTY25SEP15150PE,0
NSE,103835,MOTHERSON25OCT97.5CE,NSE-MOTHERSON-28Oct25-97-CE,,CE,FNO,,,MOTHERSON,4204,2025-10-28,97,6150,0.05,246001,0,1,1,MOTHERSON25OCT97.5CE,0
NSE,47310,MOTHERSON25SEP105CE,NSE-MOTHERSON-30Sep25-105-CE,,CE,FNO,,,MOTHERSON,4204,2025-09-30,105,6150,0.05,246001,0,1,1,MOTHERSON25SEP105CE,0
NSE,59634,MIDCPNIFTY25SEP14525CE,NSE-MIDCPNIFTY-30Sep25-14525-CE,,CE,FNO,,,MIDCPNIFTY,26074,2025-09-30,14525,140,0.05,2801,1,1,1,MIDCPNIFTY25SEP14525CE,0
NSE,59717,MIDCPNIFTY25SEP15250CE,NSE-MIDCPNIFTY-30Sep25-15250-CE,,CE,FNO,,,MIDCPNIFTY,26074,2025-09-30,15250,140,0.05,2801,1,1,1,MIDCPNIFTY25SEP15250CE,0
NSE,103975,MOTHERSON25NOV70PE,NSE-MOTHERSON-25Nov25-70-PE,,PE,FNO,,,MOTHERSON,4204,2025-11-25,70,6150,0.05,246001,0,1,1,MOTHERSON25NOV70PE,0
NSE,59636,MIDCPNIFTY25SEP14550CE,NSE-MIDCPNIFTY-30Sep25-14550-CE,,CE,FNO,,,MIDCPNIFTY,26074,2025-09-30,14550,140,0.05,2801,1,1,1,MIDCPNIFTY25SEP14550CE,0
NSE,59931,MIDCPNIFTY25SEP17300CE,NSE-MIDCPNIFTY-30Sep25-17300-CE,,CE,FNO,,,MIDCPNIFTY,26074,2025-09-30,17300,140,0.05,2801,1,1,1,MIDCPNIFTY25SEP17300CE,0
NSE,59864,MIDCPNIFTY25SEP16600PE,NSE-MIDCPNIFTY-30Sep25-16600-PE,,PE,FNO,,,MIDCPNIFTY,26074,2025-09-30,16600,140,0.05,2801,1,1,1,MIDCPNIFTY25SEP16600PE,0
NSE,47303,MOTHERSON25SEP85CE,NSE-MOTHERSON-30Sep25-85-CE,,CE,FNO,,,MOTHERSON,4204,2025-09-30,85,6150,0.05,246001,0,1,1,MOTHERSON25SEP85CE,0
NSE,103836,MOTHERSON25OCT97.5PE,NSE-MOTHERSON-28Oct25-97-PE,,PE,FNO,,,MOTHERSON,4204,2025-10-28,97,6150,0.05,246001,0,1,1,MOTHERSON25OCT97.5PE,0
NSE,103961,MOTHERSON25NOV55PE,NSE-MOTHERSON-25Nov25-55-PE,,PE,FNO,,,MOTHERSON,4204,2025-11-25,55,6150,0.05,246001,1,1,1,MOTHERSON25NOV55PE,0
NSE,59681,MIDCPNIFTY25SEP14900PE,NSE-MIDCPNIFTY-30Sep25-14900-PE,,PE,FNO,,,MIDCPNIFTY,26074,2025-09-30,14900,140,0.05,2801,0,1,1,MIDCPNIFTY25SEP14900PE,0
NSE,103831,MOTHERSON25OCT87.5CE,NSE-MOTHERSON-28Oct25-87-CE,,CE,FNO,,,MOTHERSON,4204,2025-10-28,87,6150,0.05,246001,0,1,1,MOTHERSON25OCT87.5CE,0
NSE,103962,MOTHERSON25NOV60CE,NSE-MOTHERSON-25Nov25-60-CE,,CE,FNO,,,MOTHERSON,4204,2025-11-25,60,6150,0.05,246001,1,1,1,MOTHERSON25NOV60CE,0
NSE,59695,MIDCPNIFTY25SEP15025PE,NSE-MIDCPNIFTY-30Sep25-15025-PE,,PE,FNO,,,MIDCPNIFTY,26074,2025-09-30,15025,140,0.05,2801,1,1,1,MIDCPNIFTY25SEP15025PE,0
NSE,103988,MOTHERSON25NOV95CE,NSE-MOTHERSON-25Nov25-95-CE,,CE,FNO,,,MOTHERSON,4204,2025-11-25,95,6150,0.05,246001,0,1,1,MOTHERSON25NOV95CE,0
NSE,104011,MOTHERSON25NOV150PE,NSE-MOTHERSON-25Nov25-150-PE,,PE,FNO,,,MOTHERSON,4204,2025-11-25,150,6150,0.05,246001,1,1,1,MOTHERSON25NOV150PE,0
NSE,59679,MIDCPNIFTY25SEP14875PE,NSE-MIDCPNIFTY-30Sep25-14875-PE,,PE,FNO,,,MIDCPNIFTY,26074,2025-09-30,14875,140,0.05,2801,1,1,1,MIDCPNIFTY25SEP14875PE,0
NSE,59751,MIDCPNIFTY25SEP15600CE,NSE-MIDCPNIFTY-30Sep25-15600-CE,,CE,FNO,,,MIDCPNIFTY,26074,2025-09-30,15600,140,0.05,2801,1,1,1,MIDCPNIFTY25SEP15600CE,0
NSE,103863,MOTHERSON25OCT122.5PE,NSE-MOTHERSON-28Oct25-122-PE,,PE,FNO,,,MOTHERSON,4204,2025-10-28,122,6150,0.05,246001,1,1,1,MOTHERSON25OCT122.5PE,0
NSE,37290,MOTHERSON25OCT127.5PE,NSE-MOTHERSON-28Oct25-127-PE,,PE,FNO,,,MOTHERSON,4204,2025-10-28,127,6150,0.05,246001,1,1,1,MOTHERSON25OCT127.5PE,0
NSE,47295,MOTHERSON25SEP50CE,NSE-MOTHERSON-30Sep25-50-CE,,CE,FNO,,,MOTHERSON,4204,2025-09-30,50,6150,0.05,246001,1,1,1,MOTHERSON25SEP50CE,0
NSE,103847,MOTHERSON25OCT117.5CE,NSE-MOTHERSON-28Oct25-117-CE,,CE,FNO,,,MOTHERSON,4204,2025-10-28,117,6150,0.05,246001,1,1,1,MOTHERSON25OCT117.5CE,0
NSE,59687,MIDCPNIFTY25SEP14950PE,NSE-MIDCPNIFTY-30Sep25-14950-PE,,PE,FNO,,,MIDCPNIFTY,26074,2025-09-30,14950,140,0.05,2801,1,1,1,MIDCPNIFTY25SEP14950PE,0
NSE,59963,MIDCPNIFTY25SEP17700PE,NSE-MIDCPNIFTY-30Sep25-17700-PE,,PE,FNO,,,MIDCPNIFTY,26074,2025-09-30,17700,140,0.05,2801,1,1,1,MIDCPNIFTY25SEP17700PE,0
NSE,59701,MIDCPNIFTY25SEP15100PE,NSE-MIDCPNIFTY-30Sep25-15100-PE,,PE,FNO,,,MIDCPNIFTY,26074,2025-09-30,15100,140,0.05,2801,1,1,1,MIDCPNIFTY25SEP15100PE,0
NSE,59747,MIDCPNIFTY25SEP15525CE,NSE-MIDCPNIFTY-30Sep25-15525-CE,,CE,FNO,,,MIDCPNIFTY,26074,2025-09-30,15525,140,0.05,2801,1,1,1,MIDCPNIFTY25SEP15525CE,0
NSE,59622,MIDCPNIFTY25SEP14475CE,NSE-MIDCPNIFTY-30Sep25-14475-CE,,CE,FNO,,,MIDCPNIFTY,26074,2025-09-30,14475,140,0.05,2801,1,1,1,MIDCPNIFTY25SEP14475CE,0
NSE,47316,MOTHERSON25SEP125PE,NSE-MOTHERSON-30Sep25-125-PE,,PE,FNO,,,MOTHERSON,4204,2025-09-30,125,6150,0.05,246001,1,1,1,MOTHERSON25SEP125PE,0
NSE,59744,MIDCPNIFTY25SEP15475PE,NSE-MIDCPNIFTY-30Sep25-15475-PE,,PE,FNO,,,MIDCPNIFTY,26074,2025-09-30,15475,140,0.05,2801,1,1,1,MIDCPNIFTY25SEP15475PE,0
NSE,59682,MIDCPNIFTY25SEP14925CE,NSE-MIDCPNIFTY-30Sep25-14925-CE,,CE,FNO,,,MIDCPNIFTY,26074,2025-09-30,14925,140,0.05,2801,1,1,1,MIDCPNIFTY25SEP14925CE,0
NSE,59880,MIDCPNIFTY25SEP16700CE,NSE-MIDCPNIFTY-30Sep25-16700-CE,,CE,FNO,,,MIDCPNIFTY,26074,2025-09-30,16700,140,0.05,2801,1,1,1,MIDCPNIFTY25SEP16700CE,0
NSE,59671,MIDCPNIFTY25SEP14825PE,NSE-MIDCPNIFTY-30Sep25-14825-PE,,PE,FNO,,,MIDCPNIFTY,26074,2025-09-30,14825,140,0.05,2801,1,1,1,MIDCPNIFTY25SEP14825PE,0
NSE,59750,MIDCPNIFTY25SEP15550PE,NSE-MIDCPNIFTY-30Sep25-15550-PE,,PE,FNO,,,MIDCPNIFTY,26074,2025-09-30,15550,140,0.05,2801,1,1,1,MIDCPNIFTY25SEP15550PE,0
NSE,59715,MIDCPNIFTY25SEP15225CE,NSE-MIDCPNIFTY-30Sep25-15225-CE,,CE,FNO,,,MIDCPNIFTY,26074,2025-09-30,15225,140,0.05,2801,1,1,1,MIDCPNIFTY25SEP15225CE,0
NSE,104003,MOTHERSON25NOV125PE,NSE-MOTHERSON-25Nov25-125-PE,,PE,FNO,,,MOTHERSON,4204,2025-11-25,125,6150,0.05,246001,1,1,1,MOTHERSON25NOV125PE,0
NSE,59712,MIDCPNIFTY25SEP15175PE,NSE-MIDCPNIFTY-30Sep25-15175-PE,,PE,FNO,,,MIDCPNIFTY,26074,2025-09-30,15175,140,0.05,2801,1,1,1,MIDCPNIFTY25SEP15175PE,0
NSE,104004,MOTHERSON25NOV130CE,NSE-MOTHERSON-25Nov25-130-CE,,CE,FNO,,,MOTHERSON,4204,2025-11-25,130,6150,0.05,246001,1,1,1,MOTHERSON25NOV130CE,0
NSE,103846,MOTHERSON25OCT112.5PE,NSE-MOTHERSON-28Oct25-112-PE,,PE,FNO,,,MOTHERSON,4204,2025-10-28,112,6150,0.05,246001,1,1,1,MOTHERSON25OCT112.5PE,0
NSE,59572,MIDCPNIFTY25SEP14375PE,NSE-MIDCPNIFTY-30Sep25-14375-PE,,PE,FNO,,,MIDCPNIFTY,26074,2025-09-30,14375,140,0.05,2801,1,1,1,MIDCPNIFTY25SEP14375PE,0
NSE,59618,MIDCPNIFTY25SEP14425CE,NSE-MIDCPNIFTY-30Sep25-14425-CE,,CE,FNO,,,MIDCPNIFTY,26074,2025-09-30,14425,140,0.05,2801,1,1,1,MIDCPNIFTY25SEP14425CE,0
NSE,103951,MOTHERSON25NOV50CE,NSE-MOTHERSON-25Nov25-50-CE,,CE,FNO,,,MOTHERSON,4204,2025-11-25,50,6150,0.05,246001,1,1,1,MOTHERSON25NOV50CE,0
NSE,103998,MOTHERSON25NOV115CE,NSE-MOTHERSON-25Nov25-115-CE,,CE,FNO,,,MOTHERSON,4204,2025-11-25,115,6150,0.05,246001,1,1,1,MOTHERSON25NOV115CE,0
NSE,59748,MIDCPNIFTY25SEP15525PE,NSE-MIDCPNIFTY-30Sep25-15525-PE,,PE,FNO,,,MIDCPNIFTY,26074,2025-09-30,15525,140,0.05,2801,1,1,1,MIDCPNIFTY25SEP15525PE,0
NSE,59777,MIDCPNIFTY25SEP16100CE,NSE-MIDCPNIFTY-30Sep25-16100-CE,,CE,FNO,,,MIDCPNIFTY,26074,2025-09-30,16100,140,0.05,2801,1,1,1,MIDCPNIFTY25SEP16100CE,0
NSE,47313,MOTHERSON25SEP115CE,NSE-MOTHERSON-30Sep25-115-CE,,CE,FNO,,,MOTHERSON,4204,2025-09-30,115,6150,0.05,246001,0,1,1,MOTHERSON25SEP115CE,0
NSE,59621,MIDCPNIFTY25SEP14450PE,NSE-MIDCPNIFTY-30Sep25-14450-PE,,PE,FNO,,,MIDCPNIFTY,26074,2025-09-30,14450,140,0.05,2801,1,1,1,MIDCPNIFTY25SEP14450PE,0
NSE,59904,MIDCPNIFTY25SEP17200PE,NSE-MIDCPNIFTY-30Sep25-17200-PE,,PE,FNO,,,MIDCPNIFTY,26074,2025-09-30,17200,140,0.05,2801,1,1,1,MIDCPNIFTY25SEP17200PE,0
NSE,103963,MOTHERSON25NOV60PE,NSE-MOTHERSON-25Nov25-60-PE,,PE,FNO,,,MOTHERSON,4204,2025-11-25,60,6150,0.05,246001,1,1,1,MOTHERSON25NOV60PE,0
